NodeNumber,Total Deformation (m)
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,2.54E-04
1186,2.00E-05
1187,1.79E-05
1188,3.90E-04
1189,3.87E-04
1190,1.30E-04
1191,1.27E-04
1192,1.56E-05
1193,1.39E-05
1194,3.70E-04
1195,5.75E-04
1196,5.52E-04
1197,4.97E-05
1198,5.82E-05
1199,2.54E-04
1200,1.60E-05
1201,2.45E-04
1202,1.90E-05
1203,1.89E-05
1204,1.92E-05
1205,5.99E-04
1206,4.81E-04
1207,4.66E-04
1208,2.85E-04
1209,1.09E-05
1210,1.05E-05
1211,1.56E-04
1212,4.32E-04
1213,3.18E-04
1214,1.00E-05
1215,1.36E-05
1216,3.26E-04
1217,5.70E-05
1218,4.28E-04
1219,1.35E-05
1220,9.58E-06
1221,5.78E-04
1222,2.56E-04
1223,3.50E-05
1224,2.26E-04
1225,1.09E-04
1226,6.26E-04
1227,1.92E-04
1228,2.84E-05
1229,1.44E-05
1230,5.45E-05
1231,1.08E-05
1232,1.07E-05
1233,5.03E-04
1234,4.19E-04
1235,3.83E-04
1236,1.96E-05
1237,1.23E-04
1238,3.54E-05
1239,6.58E-06
1240,6.61E-06
1241,2.70E-05
1242,1.59E-05
1243,1.74E-05
1244,9.25E-05
1245,1.06E-05
1246,1.87E-04
1247,2.53E-05
1248,6.04E-04
1249,1.79E-04
1250,5.29E-04
1251,9.97E-06
1252,1.90E-05
1253,1.91E-05
1254,6.26E-04
1255,4.23E-04
1256,3.73E-04
1257,6.31E-04
1258,5.03E-04
1259,8.74E-05
1260,8.26E-05
1261,3.35E-04
1262,1.71E-04
1263,1.99E-04
1264,3.12E-04
1265,8.07E-06
1266,7.50E-06
1267,1.52E-05
1268,1.10E-05
1269,4.30E-04
1270,4.96E-04
1271,1.21E-04
1272,3.65E-04
1273,1.59E-05
1274,2.06E-05
1275,6.38E-04
1276,3.16E-04
1277,1.10E-05
1278,9.09E-06
1279,8.98E-06
1280,1.50E-04
1281,5.82E-04
1282,1.99E-04
1283,9.73E-06
1284,6.31E-04
1285,7.08E-05
1286,4.31E-04
1287,1.01E-04
1288,1.87E-05
1289,8.90E-06
1290,9.75E-06
1291,6.30E-05
1292,4.17E-04
1293,7.88E-05
1294,1.20E-04
1295,4.86E-05
1296,8.55E-06
1297,5.91E-04
1298,8.20E-06
1299,1.09E-05
1300,5.24E-04
1301,9.60E-05
1302,1.55E-04
1303,1.42E-05
1304,2.10E-05
1305,3.16E-05
1306,5.62E-04
1307,6.09E-04
1308,5.70E-04
1309,1.37E-05
1310,1.58E-04
1311,4.34E-05
1312,2.37E-05
1313,3.47E-05
1314,7.63E-06
1315,6.41E-04
1316,1.97E-04
1317,1.52E-05
1318,4.58E-04
1319,1.26E-05
1320,7.49E-06
1321,8.35E-06
1322,2.26E-05
1323,5.11E-04
1324,3.07E-05
1325,9.48E-05
1326,4.82E-04
1327,8.42E-06
1328,4.56E-04
1329,1.49E-04
1330,5.31E-04
1331,1.21E-04
1332,1.53E-05
1333,1.28E-05
1334,3.35E-04
1335,3.95E-05
1336,2.61E-04
1337,3.11E-04
