NodeNumber,Equivalent Stress (Pa)
1123,4.24E+06
1124,2.03E+07
1125,31.968
1126,1.27E+05
1127,1.12E+05
1128,4.20E+05
1129,5.4453
1130,5.8985
1131,1.67E+06
1132,2.127
1133,4607.9
1134,5.02E+07
1135,13469
1136,3.69E+07
1137,3.09E+07
1138,1.58E+06
1139,3.0306
1140,2.76E+07
1141,3.04E+07
1142,1.08E+06
1143,5.222
1144,5.735
1145,2.13E+07
1146,23.029
1147,7.12E+05
1148,41626
1149,963.52
1150,20.115
1151,6.11E+06
1152,1.94E+07
1153,39.627
1154,182
1155,1845.1
1156,7.41E+06
1157,1483.8
1158,1.93E+07
1159,44.475
1160,4.49E+07
1161,2.63E+07
1162,5614.5
1163,1.0251
1164,4.71E+06
1165,1.78E+07
1166,1.30E+05
1167,83.514
1168,1.48E+05
1169,723.16
1170,1.13E+07
1171,3.81E+07
1172,3.17E+05
1173,48.357
1174,1.75E+07
1175,1.16E+07
1176,6.2088
1177,6.5324
1178,145.1
1179,5.44E+05
1180,3.51E+07
1181,1.01E+05
1182,81431
1183,3.01E+07
1184,23.738
1185,3.73E+07
1186,1.34E+08
1187,1.34E+08
1188,2.01E+07
1189,1.90E+07
1190,7.79E+07
1191,7.94E+07
1192,1.31E+08
1193,1.32E+08
1194,2.03E+07
1195,4.78E+06
1196,6.60E+06
1197,1.35E+08
1198,1.35E+08
1199,3.88E+07
1200,1.23E+08
1201,3.84E+07
1202,1.27E+08
1203,1.02E+08
1204,1.04E+08
1205,4.68E+06
1206,1.43E+07
1207,1.32E+07
1208,3.37E+07
1209,1.41E+08
1210,1.43E+08
1211,5.08E+07
1212,1.64E+07
1213,2.77E+07
1214,1.29E+08
1215,1.23E+08
1216,2.65E+07
1217,1.43E+08
1218,1.61E+07
1219,1.24E+08
1220,1.27E+08
1221,4.87E+06
1222,3.85E+07
1223,1.46E+08
1224,4.75E+07
1225,9.39E+07
1226,4.80E+06
1227,5.16E+07
1228,1.45E+08
1229,1.28E+08
1230,1.25E+08
1231,1.19E+08
1232,1.27E+08
1233,1.05E+07
1234,1.12E+07
1235,1.88E+07
1236,1.28E+08
1237,3.87E+07
1238,1.50E+08
1239,1.29E+08
1240,1.27E+08
1241,1.30E+08
1242,1.15E+08
1243,1.13E+08
1244,1.04E+08
1245,1.23E+08
1246,4.90E+07
1247,1.29E+08
1248,4.84E+06
1249,5.42E+07
1250,8.57E+06
1251,1.22E+08
1252,1.09E+08
1253,1.11E+08
1254,2.53E+06
1255,1.37E+07
1256,2.05E+07
1257,3.79E+06
1258,9.41E+06
1259,1.07E+08
